Day rating;today's comment; previousDayChange; Improvement Idea; Date; Username - table header that is ignored
1;comment76;previousDayChange;improvementIdea;02/12/2020;catalin.gheorghe@moodproject
3;comment11;previousDayChange2;improvementIdea2;01/12/2020;catalin.gheorghe@moodproject
2;comment99;previousDayChange3;improvementIdea3;30/11/2020;catalin.gheorghe@moodproject
4;comment66;previousDayChange4;improvementIdea4;29/11/2020;catalin.gheorghe@moodproject
4;comment99;previousDayChange;improvementIdea;28/11/2020;catalin.gheorghe@moodproject
4;comment85;previousDayChange5;improvementIdea5;27/11/2020;catalin.gheorghe@moodproject
2;comment87;previousDayChange6;improvementIdea6;26/11/2020;catalin.gheorghe@moodproject
3;comment57;previousDayChange7;improvementIdea7;25/11/2020;catalin.gheorghe@moodproject
2;comment93;previousDayChange;improvementIdea;24/11/2020;catalin.gheorghe@moodproject
5;comment53;previousDayChange8;improvementIdea8;23/11/2020;catalin.gheorghe@moodproject
3;comment9;previousDayChange9;improvementIdea9;22/11/2020;catalin.gheorghe@moodproject
3;comment63;previousDayChange10;improvementIdea10;21/11/2020;catalin.gheorghe@moodproject
1;comment76;previousDayChange;improvementIdea;20/11/2020;catalin.gheorghe@moodproject
4;comment70;previousDayChange11;improvementIdea11;19/11/2020;catalin.gheorghe@moodproject
3;comment54;previousDayChange12;improvementIdea12;18/11/2020;catalin.gheorghe@moodproject
3;comment10;previousDayChange13;improvementIdea13;17/11/2020;catalin.gheorghe@moodproject
5;comment9;previousDayChange;improvementIdea;16/11/2020;catalin.gheorghe@moodproject
3;comment63;previousDayChange14;improvementIdea14;15/11/2020;catalin.gheorghe@moodproject
4;comment46;previousDayChange15;improvementIdea15;14/11/2020;catalin.gheorghe@moodproject
1;comment93;previousDayChange16;improvementIdea16;13/11/2020;catalin.gheorghe@moodproject
1;comment36;previousDayChange;improvementIdea;12/11/2020;catalin.gheorghe@moodproject
2;comment90;previousDayChange17;improvementIdea17;11/11/2020;catalin.gheorghe@moodproject
1;comment16;previousDayChange18;improvementIdea18;10/11/2020;catalin.gheorghe@moodproject
2;comment68;previousDayChange19;improvementIdea19;09/11/2020;catalin.gheorghe@moodproject
1;comment82;previousDayChange;improvementIdea;08/11/2020;catalin.gheorghe@moodproject
2;comment61;previousDayChange20;improvementIdea20;07/11/2020;catalin.gheorghe@moodproject
2;comment66;previousDayChange21;improvementIdea21;06/11/2020;catalin.gheorghe@moodproject
5;comment37;previousDayChange22;improvementIdea22;05/11/2020;catalin.gheorghe@moodproject
4;comment36;previousDayChange;improvementIdea;04/11/2020;catalin.gheorghe@moodproject
1;comment53;previousDayChange23;improvementIdea23;03/11/2020;catalin.gheorghe@moodproject
5;comment18;previousDayChange24;improvementIdea24;02/11/2020;catalin.gheorghe@moodproject
