Day rating;today's comment; previousDayChange; Improvement Idea; Date; Username - table header that is ignored
3;comment40;previousDayChange25;improvementIdea25;02/12/2020;ana.anastasescu@moodproject
1;comment42;previousDayChange;improvementIdea;01/12/2020;ana.anastasescu@moodproject
1;comment87;previousDayChange26;improvementIdea26;30/11/2020;ana.anastasescu@moodproject
4;comment57;previousDayChange27;improvementIdea27;29/11/2020;ana.anastasescu@moodproject
1;comment47;previousDayChange28;improvementIdea28;28/11/2020;ana.anastasescu@moodproject
1;comment27;previousDayChange;improvementIdea;27/11/2020;ana.anastasescu@moodproject
2;comment46;previousDayChange29;improvementIdea29;26/11/2020;ana.anastasescu@moodproject
1;comment32;previousDayChange30;improvementIdea30;25/11/2020;ana.anastasescu@moodproject
2;comment36;previousDayChange31;improvementIdea31;24/11/2020;ana.anastasescu@moodproject
3;comment93;previousDayChange;improvementIdea;23/11/2020;ana.anastasescu@moodproject
3;comment61;previousDayChange32;improvementIdea32;22/11/2020;ana.anastasescu@moodproject
2;comment93;previousDayChange33;improvementIdea33;21/11/2020;ana.anastasescu@moodproject
1;comment19;previousDayChange34;improvementIdea34;20/11/2020;ana.anastasescu@moodproject
5;comment79;previousDayChange;improvementIdea;19/11/2020;ana.anastasescu@moodproject
4;comment94;previousDayChange35;improvementIdea35;18/11/2020;ana.anastasescu@moodproject
3;comment45;previousDayChange36;improvementIdea36;17/11/2020;ana.anastasescu@moodproject
2;comment94;previousDayChange37;improvementIdea37;16/11/2020;ana.anastasescu@moodproject
3;comment69;previousDayChange;improvementIdea;15/11/2020;ana.anastasescu@moodproject
3;comment43;previousDayChange38;improvementIdea38;14/11/2020;ana.anastasescu@moodproject
4;comment67;previousDayChange39;improvementIdea39;13/11/2020;ana.anastasescu@moodproject
2;comment85;previousDayChange40;improvementIdea40;12/11/2020;ana.anastasescu@moodproject
3;comment99;previousDayChange;improvementIdea;11/11/2020;ana.anastasescu@moodproject
4;comment11;previousDayChange41;improvementIdea41;10/11/2020;ana.anastasescu@moodproject
3;comment75;previousDayChange42;improvementIdea42;09/11/2020;ana.anastasescu@moodproject
2;comment24;previousDayChange43;improvementIdea43;08/11/2020;ana.anastasescu@moodproject
5;comment80;previousDayChange;improvementIdea;07/11/2020;ana.anastasescu@moodproject
5;comment59;previousDayChange44;improvementIdea44;06/11/2020;ana.anastasescu@moodproject
1;comment63;previousDayChange45;improvementIdea45;05/11/2020;ana.anastasescu@moodproject
5;comment28;previousDayChange46;improvementIdea46;04/11/2020;ana.anastasescu@moodproject
5;comment6;previousDayChange;improvementIdea;03/11/2020;ana.anastasescu@moodproject
2;comment86;previousDayChange47;improvementIdea47;02/11/2020;ana.anastasescu@moodproject
